Bill Number,Title,Sponsors,Status,Current Location/Referral,Last Action Date
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=1&year=26"" target=""_blank"">*HB   1</a>",FEED BILL,Reena Szczepanski,,Chaptered,
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=2&year=26"" target=""_blank"">HB   2</a>",GENERAL APPROPRIATION ACT OF 2026,Nathan P. Small; Meredith A. Dixon,Sent to SFC - Referrals: SFC,Scheduled for Senate Finance Committee                                                                                                                                                                                                                                        on 2/15/2026,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=3&year=26"" target=""_blank"">HB   3</a>",DEPT. OF TRANSPORTATION ACT OF 2026,Art De La Cruz; Raymundo Lara,Succeeding entries: H 2,Substituted,02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=4&year=26"" target=""_blank"">HB   4</a>",HEALTH CARE AFFORDABILITY FUND DISTRIBUTIONS,"Reena Szczepanski; Elizabeth ""Liz"" Thomson; Roberto ""Bobby"" J. Gonzales; Joseph Franklin Hernandez; Anita Gonzales",Sent to SFC - Referrals: SFC,Senate Finance Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=5&year=26"" target=""_blank"">HB   5</a>",JUVENILE JUSTICE CHANGES,Janelle Anyanonu; Sarah Silva; Art De La Cruz; Charlotte Little,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=6&year=26"" target=""_blank"">HB   6</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Javier Martínez,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=7&year=26"" target=""_blank"">HB   7</a>",APPRENTICESHIP ASSISTANCE ACT TRANSFERS,Joy Garratt; Kathleen Cates; Pat Woods; Michael Padilla; Christine Chandler,Sent to SFC - Referrals: SFC,Senate Finance Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=8&year=26"" target=""_blank"">HB   8</a>",HIGHER ED. MAJOR PROJECTS FUND,Anita Gonzales; Dayan Hochman-Vigil; Nathan P. Small; Pete Campos,SEC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=9&year=26"" target=""_blank"">HB   9</a>",IMMIGRANT SAFETY ACT,Eleanor Chávez; Angelica Rubio; Andrea Romero; Marianna Anaya; Joseph Cervantes,,Chaptered,
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=10&year=26"" target=""_blank"">HB  10</a>",PHYSICIAN ASSISTANT INTERSTATE COMPACT,"Elizabeth ""Liz"" Thomson; Gail Armstrong; Joshua N. Hernandez; Jenifer Jones; Anita Gonzales",SHPAC: Reported by committee with Do Pass recommendation with amendment(s),Senate Judiciary Committee,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=11&year=26"" target=""_blank"">HB  11</a>",AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY COMPACT,"Elizabeth ""Liz"" Thomson; Gail Armstrong; Jenifer Jones; Anita Gonzales; Michelle Paulene Abeyta",Sent to SHPAC - Referrals: SHPAC/SJC,Senate Health and Public Affairs Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=12&year=26"" target=""_blank"">HB  12</a>",PHYSICAL THERAPY LICENSURE COMPACT,"Elizabeth ""Liz"" Thomson; Gail Armstrong; Joshua N. Hernandez; Jenifer Jones; Charlotte Little",SHPAC: Reported by committee with Do Pass recommendation with amendment(s),Senate Judiciary Committee,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=13&year=26"" target=""_blank"">HB  13</a>",OCCUPATIONAL THERAPY LICENSURE COMPACT,"Elizabeth ""Liz"" Thomson; Gail Armstrong; Joshua N. Hernandez; Jenifer Jones",Sent to SHPAC - Referrals: SHPAC/SJC,Senate Health and Public Affairs Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=14&year=26"" target=""_blank"">HB  14</a>",DENTIST & DENTAL HYGIENIST COMPACT,"Elizabeth ""Liz"" Thomson; Joshua N. Hernandez; Jenifer Jones; Kathleen Cates; Charlotte Little",Sent to SHPAC - Referrals: SHPAC/SJC,Senate Health and Public Affairs Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=15&year=26"" target=""_blank"">HB  15</a>",MEDICAL INJURY COLLABORATIVE RESOLUTION ACT,Marianna Anaya; Peter Wirth,HCPAC: Reported by committee with Do Pass recommendation,House Judiciary Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=16&year=26"" target=""_blank"">HB  16</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Javier Martínez,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=17&year=26"" target=""_blank"">HB  17</a>",ACCESSORY DWELLING UNITS IN CERTAIN AREAS,Andrea Romero; Heather Berghmans,Sent to HCEDC - Referrals: HCEDC/HGEIC,House Commerce & Economic Development Committee,01/26/2026
